No," ID POST"," MESSAGE"," LIKE"," COMMENT"," DATE"
69,5281959998_10151594685694999,"Our world is an absolute mess. Would things look different if women were in charge? That’s the starting point for Yael Bartana's aptly titled ""What If Women Ruled the World?"" at the Volksbühne Berlin.",577,153,2018-05-24
70,5281959998_10151594679099999,"The arrival of deep-pocketed investors and celebrities like Madonna is ""creating housing problems in a few neighborhoods,"" said a director of a resort and hotel company.",416,76,2018-05-24
71,5281959998_10151594650889999,"Deutsche Bank, Germany's biggest lender, said that it would cut 7,000 jobs and ""significantly reshape"" its sales and trading business.",143,30,2018-05-24
72,5281959998_10151594076544999,"Fishing is now harder then ever for about 250 families that have lost their homes to erosion. Most of them — roughly 850 people — were resettled by the local authorities in a temporary camp several miles inland.",78,16,2018-05-24
73,5281959998_10151594054014999,"Where's the most diverse park in the world? Bolivia is staking a claim.",336,13,2018-05-24
74,5281959998_10151594439699999,"A new Swedish law is set to change the way that rape and other sexual crimes are prosecuted.",5106,157,2018-05-24
75,5281959998_10151594442119999,"Saudi Arabia is escalating its crackdown on activists who had pressed for the right of women to drive, bringing the number arrested to at least 11 and publicly branding them as “traitors.”",525,85,2018-05-24
76,5281959998_10151594436049999,"Apple signed a deal under which Volkswagen is to produce self-driving versions of a van to serve as shuttles for the tech giant’s employees.",203,34,2018-05-24
77,5281959998_10151594469499999,"“K2 in and of itself is very dangerous. But what we’re seeing over the last couple of days — 56 confirmed overdoses — there is a very dangerous batch circulating right now in Brooklyn,” a NYC police chief said.",305,71,2018-05-24
78,5281959998_10151594432219999,"He’s been throwing shade at President Trump on Instagram. Now Pete Souza will do it in a new book.",1387,48,2018-05-24
79,5281959998_10151594431494999,"The Education Department just explained how the “temporarily expanded” program for student loans will work, using $350 million that Congress set aside.",397,78,2018-05-24
80,5281959998_2026047994279379,"Footage from an officer’s body camera shows a confrontation between NBA player Sterling Brown and Milwaukee police officers, who used a Taser on Brown during an arrest in January.",15332,3846,2018-05-24
81,5281959998_10151594454344999,"The driver of a school bus that crashed in New Jersey, killing 2 passengers, had his license suspended 14 times. About half of those suspensions were for parking violations and one was for a moving violation.",2235,129,2018-05-24
82,5281959998_10151594466184999,"In The New York Times Opinion Section, the editorial board writes: ""Rather than show a little backbone themselves and support the right of athletes to protest peacefully, the NFL capitulated to a president who relishes demonizing black athletes.""",10999,1052,2018-05-24
83,5281959998_10151594448084999,"North Korea again threatened to abandon a meeting with President Trump, calling remarks by Vice President Mike Pence ""ignorant and stupid.""",2987,626,2018-05-24
84,5281959998_10151594366944999,"The secret ingredient to this vegetarian tortilla soup? Canned chipotles in adobo.",298,22,2018-05-24
85,5281959998_10151594323729999,"His severe brain lesions have caused seizures, an inability to control emotions, and significant memory loss. After 2 brain biopsies, multiple MRIs, and frequent hospital visits, doctors still can't figure out what’s going on.

Have you heard of these s",139,67,2018-05-24
86,5281959998_2026007654283413,"The New York Times sat down with Philip Roth in 2008 to talk about his life and accomplishments.",1336,38,2018-05-24
87,5281959998_10151594445994999,"California is about to execute an innocent man,  says our The New York Times Opinion Section  columnist Nicholas Kristof. He joins us to discuss the case of Kevin Cooper, a black man sitting on death row for the 1983 killing of 4 white people  in a home i",645,364,2018-05-24
88,5281959998_10151594428154999,"Lupe Valdez made history by becoming the first Latina and the first openly gay person to win a major party’s nomination for governor in Texas.",4486,85,2018-05-24
89,5281959998_10151594422514999,"Newly released video shows the Milwaukee police using a stun gun on Sterling Brown, an NBA player. The police chief said the officers ""acted inappropriately."" The Milwaukee Bucks called his treatment ""shameful and inexcusable.""",1172,155,2018-05-24
90,5281959998_10151594101879999,"Coming soon to the Post Office: the first scratch-and-sniff stamps.",5626,429,2018-05-23
91,5281959998_10151594368639999,"We spent an hour with the cast of ""Arrested Development."" Jeffrey Tambor's behavior came up. ""In like almost 60 years of working, I’ve never had anybody yell at me like that on a set,"" Jessica Walter said.",2380,340,2018-05-23
92,5281959998_10151594024834999,"In a marked departure from their usually cooperative nature, a bloc of mainstream House Republicans is challenging the hard right and their leadership by demanding an immigration vote.",1526,71,2018-05-23
93,5281959998_10151594133754999,"“There is a difference between abuse and BDSM. That difference is consent.” The line between BDSM and abuse has been in the news after 2 politicians were accused of abusing their sexual partners.",305,60,2018-05-23
94,5281959998_10151594121989999,"""What I always tell people is: Just bring someone else up who’s not like you, but shares your worldview,"" said Ryan Murphy. ""Give them their first chance. That’s how you change the world.""",158,11,2018-05-23
95,5281959998_10151594038054999,"Robert Indiana's ""LOVE"" design was a cultural phenomenon, gracing everything from book and album covers to postage stamps (330 million sold and counting).",151,4,2018-05-23
96,5281959998_10151593635609999,"David Lammy, a Labour lawmaker, said the admissions figures showed that the University of Oxford was “an institution defined by entrenched privilege that is the preserve of wealthy white students from London and the Southeast.”",394,44,2018-05-23
97,5281959998_10151593616629999,"We've sent Jada Yuan to travel to all 52 places on our list of 52 Places to Go in 2018. Her next stop is Iceland, where she'll explore Reykjavik and its surrounding areas. What should she should do there?",224,70,2018-05-23
98,5281959998_10151593601509999,"In an exclusive interview with The New York Times, Philip Roth shared his thoughts on Trump, #MeToo and retirement (from January).",391,7,2018-05-23
99,5281959998_10151594190109999,"No, you cannot compete against the boys in sports. No, you cannot serve in combat or fly fighter jets. And no, you certainly cannot defeat a popular mayor. Amy McGrath didn't let people telling her ""no"" stop her.",3005,61,2018-05-23
100,5281959998_10151593606724999,"""People say they’re opting out, they want work-life balance, but we know from a lot of research that it’s not as simple as that. They’re not given opportunities.”",253,36,2018-05-23
